Team,País,#,POS,Player name (MD),Nombre ANTERIOR,Nombre NUEVO,Cambió?,First name(s),Last name(s),Name on shirt,externalRef,Observación,Nombre corregido sugerido
EGY,Egypt,11,MF,MOSTAFA ZICO,Mostafa Zico,Mostafa Zico,,Mostafa Mohamed Zaky,ABDELRAOUF,ZICO,wc2026-EGY-11,,
EGY,Egypt,12,FW,HAISSEM HASSAN,H. Hassan,Haissem Hassan,SI,Haissem Yousry Fouad A,HASSAN,H. HASSAN,wc2026-EGY-12,Cambio de nombre,
EGY,Egypt,13,DF,AHMED FATOUH,A. Fatouh,Ahmed Fatouh,SI,Ahmed Mohamed Aboelfetouh,MOHAMED,A. FATOUH,wc2026-EGY-13,Cambio de nombre,
EGY,Egypt,14,MF,HAMDY FATHY,H. Fathy,Hamdy Fathy,SI,Hamdy Fathy Abdelhalim,ABDELFATTAH,H. FATHY,wc2026-EGY-14,Cambio de nombre,
EGY,Egypt,15,DF,KARIM HAFEZ,K. Hafez,Karim Hafez,SI,Karim Hafez Ramadan,SEIFELDIN,K. HAFEZ,wc2026-EGY-15,Cambio de nombre,
EGY,Egypt,16,GK,MAHDY SOLIMAN,M. Soliman,Mahdy Soliman,SI,Mahdy Mohamed Soliman,IBRAHIM,M. SOLIMAN,wc2026-EGY-16,Cambio de nombre,
EGY,Egypt,17,MF,MOHANAD LASHIN,M. Lashin,Mohanad Lashin,SI,Mohanad Mostafa Ahmed A,LASHIN,M. LASHIN,wc2026-EGY-17,Cambio de nombre,
EGY,Egypt,18,MF,NABIL DONGA,Nabil Donga,Nabil Donga,,Nabil Emad Aly Elmahdy,ALY,DONGA,wc2026-EGY-18,,
EGY,Egypt,19,MF,MARAWAN ATTIA,M. Attia,Marawan Attia,SI,Marawan Attia Fahim,GHALLAB,M. ATTIA,wc2026-EGY-19,Cambio de nombre,
EGY,Egypt,20,FW,IBRAHIM ADEL,I. Adel,Ibrahim Adel,SI,Ibrahim Adel Aly Mohamed,HASSAN,I. ADEL,wc2026-EGY-20,Cambio de nombre,
EGY,Egypt,21,MF,MAHMOUD SABER,M. Saber,Mahmoud Saber,SI,Mahmoud Saber Abdelmohsen H,ABDELMOHSEN,M. SABER,wc2026-EGY-21,Cambio de nombre,
EGY,Egypt,22,FW,OMAR MARMOUSH,Omar Marmoush,Omar Marmoush,,Omar Khaled Mohamed Abdelsalam,MARMOUSH,MARMOUSH,wc2026-EGY-22,,
EGY,Egypt,23,GK,MOSTAFA SHOUBIR,Mostafa Shoubir,Mostafa Shoubir,,Mostafa Ahmed Abdelaziz Mohame,SHOUBIR,SHOUBIR,wc2026-EGY-23,,
EGY,Egypt,24,DF,TAREK ALAA,T. Alaa,Tarek Alaa,SI,Tarek Alaa Abdelghaffar Abdel,ELGEBALY,T. ALAA,wc2026-EGY-24,Cambio de nombre,
EGY,Egypt,25,FW,ZIZO,Ahmed Zizo,Zizo,SI,Ahmed Mostafa Mohamed,SAYED,ZIZO,wc2026-EGY-25,Cambio de nombre,
EGY,Egypt,26,GK,MOHAMED ALAA,M. Alaa,Mohamed Alaa,SI,Mohamed Alaaeldin Soliman M,AHMED,M. ALAA,wc2026-EGY-26,Cambio de nombre,
ENG,England,1,GK,PICKFORD Jordan,Jordan Pickford,Pickford Jordan,SI,Jordan Lee,PICKFORD,PICKFORD,wc2026-ENG-1,Cambio de nombre,
ENG,England,2,DF,KONSA Ezri,Ezri Konsa,Konsa Ezri,SI,Ezri Ngoyo,KONSA,KONSA,wc2026-ENG-2,Cambio de nombre,
ENG,England,3,DF,OREILLY Nico,Nico O'reilly,Oreilly Nico,SI,Nico,O'REILLY,O'REILLY,wc2026-ENG-3,Cambio de nombre,
ENG,England,4,MF,RICE Declan,Declan Rice,Rice Declan,SI,Declan,RICE,RICE,wc2026-ENG-4,Cambio de nombre,
ENG,England,5,DF,STONES John,John Stones,Stones John,SI,John,STONES,STONES,wc2026-ENG-5,Cambio de nombre,
ENG,England,6,DF,GUEHI Marc,Addji Guehi,Guehi Marc,SI,Addji Keaninkin Marc-Isreal,GUEHI,GUEHI,wc2026-ENG-6,Cambio de nombre,
ENG,England,7,FW,SAKA Bukayo,Bukayo Saka,Saka Bukayo,SI,Bukayo Ayoyinka,SAKA,SAKA,wc2026-ENG-7,Cambio de nombre,
ENG,England,8,MF,ANDERSON Elliot,Elliot Anderson,Anderson Elliot,SI,Elliot Junior,ANDERSON,ANDERSON,wc2026-ENG-8,Cambio de nombre,
ENG,England,9,FW,KANE Harry,Harry Kane,Kane Harry,SI,Harry Edward,KANE,KANE,wc2026-ENG-9,Cambio de nombre,
ENG,England,10,MF,BELLINGHAM Jude,Jude Bellingham,Bellingham Jude,SI,Jude Victor William,BELLINGHAM,BELLINGHAM,wc2026-ENG-10,Cambio de nombre,
